0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:41 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:42 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:43 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:43 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:43 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:47:43 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:48:31 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 566
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:48:31 +0900] "GET /web_study_12/product/css/shopping.css HTTP/1.1" 404 856
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:49:01 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 569
0:0:0:0:0:0:0:1 - - [13/Apr/2022:11:49:01 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 200 465
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:37 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:37 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:37 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:37 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:38 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:38 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:38 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:40 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:40 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:40 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:40 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:41 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:01:46 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:00 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:00 +0900] "GET /web_study_12/css/shopping.css HTTP/1.1" 304 -
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:00 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:01 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:01 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:01 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:02 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:02 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:02 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:03 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:03 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 575
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:28 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:28 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:03:30 +0900] "GET /web_study_12/product/productWrite.do HTTP/1.1" 404 851
0:0:0:0:0:0:0:1 - - [13/Apr/2022:12:04:55 +0900] "GET /web_study_12/product/productList.jsp HTTP/1.1" 200 588
